"Ür40"	"GÖ1098"	"UĞ1103"	"YO1149"	"MU1150"	"FE1151"	"HÜ1152"	"FA1154"	"TU1156"	"Sİ1162"	"HA1163"	"AL1164"	"SE1166"	"TU1167"	"AY1168"	"ŞE1170"	"ME1171"	"CA1172"	"SA1173"	"MU1174"	"ER1175"	"ME1176"	"DO1178"	"HÜ1179"	"ME1183"	"MU1184"	"DE1185"	"ÖZ1186"	"TA1201"	"ER1204"	"SE1205"	"HA1212"	"KA1213"	"HA1214"	"İB1215"	"UT1216"	"SE1217"	"AB1218"	"FU1219"	"Mİ1220"	"SE1221"	"BE1223"	"EB1224"	"Hİ1225"	"KA1226"	"BU1227"	"EN1229"	"NU1235"	"GÖ1238"	"Ne1239"	"BE1240"	"CE1241"	"OR1242"	"HA1243"	"GÖ1244"	"HÜ1245"	"AŞ1246"	"ER1247"	"İL1248"	"SA1249"	"CE1250"	"HA1251"	"AD1252"	"NE1253"	"EM1254"	"AL1255"	"ZE1256"	"İB1257"	"Çİ1258"	"YU1260"	"DO1262"	"EM1263"	"BA1264"	"YA1265"	"ER1266"	"YI1267"	"BO1268"	"MU1269"	"İL1270"	"AL1272"	"ZE1275"	"BA1276"	"ME1278"	"DE1282"	"EM1285"	"BÜ1286"	"BE1287"	"ED1288"	"GÖ1289"	"ON1296"	"MU1298"	"Es1299"	"Ne1300"	"Ba1301"	"Gi1302"	"Mu1309"	"HA1310"	"ER1313"	"Ha1314"	"Me1315"	"KO1316"	"ÖZ1317"	"TA1318"	"EL1319"	"AS1320"	"EF1321"	"PI1324"	"Nİ1325"	"ON1326"	"ÖZ1327"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.08333333333333333"	"0.1"	"0.1"	"0.1"	"0.1"	"0.08333333333333333"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.07692307692307693"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.0625"	"0.07692307692307693"	"0.1"	"0.09090909090909091"	"0.1"	"0.09090909090909091"	"0.07142857142857142"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.08333333333333333"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.08333333333333333"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.05555555555555555"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.0625"	"0.09090909090909091"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.0625"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.08333333333333333"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.0625"	"0.07692307692307693"	"0.07692307692307693"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.07142857142857142"	"0.06666666666666667"	"0.1"	"0.1"	"0.08333333333333333"	"0.07692307692307693"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.09090909090909091"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"	"0.1"
